text,script
ਸਿਰਾ ਸਾਂਗ . . ਜੇਹੜੇ ਲੋਕਾ ਅੱਗੇ ਬੜੇ ਬਦਮਾਸ਼ ਕੁੜੇ.. ਮਿੱਤਰਾਂ ਨੇ ਢਾਏ ਹੋਏ ..,Gurmukhi
wah bhau oye,Roman Punjabi
oo jithy hown kathy bethay aa majhail fer lazmi aa thakk thakk ni,Roman Punjabi
shah ji te dev honi,Roman Punjabi
prem dhillon hi keh de,Roman Punjabi
ਕੋਣ ਕੋਣ ਸੁਣਦਾ ਪਿਆ ਹੈ,Gurmukhi
geetmp te jeda gana agya million tpp hi jane keda mrji ghussa singer hove,Roman Punjabi
ਬਹੁਤ ਪਿਆਰ ਗਨਾ ਸੀ ਮਜ਼ਾ ਆ ਗਯਾ,Gurmukhi
vadiya si gaana,Roman Punjabi
ਸੁਦੇਸ਼ ਜੀ ਪੰਜਾਬ ਦੀ ਲਤਾ ਮੰਗੇਸ਼ਕਰ ਹੈਨ,Gurmukhi
sudesh kumari mam ji parveen bharta mam ji best voice please request please,Roman Punjabi
ਮੈਨੂੰ ਲੱਗਾ ਡਿਫੈਂਡਰ ਸੌਂਗ ਬਹੁਤ ਵਧੀਆ,Gurmukhi
ਹਾਲੇਲੂਈਆ ਹਾਲੇਲੂਈਆ ਦਰਅਸਲ ਮੈਂ ਤੁਹਾਨੂੰ ਇੱਕ ਗੱਲ ਦੱਸਣਾ ਚਾਹੁੰਦੀ ਹਾਂ ਕਿ ਤੁਸੀਂ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਜੀ ਦੇ ਬਹੁਤ ਖਾਸ ਹੋ ਕਿਉਂਕਿ ਪ੍ਰਭੂ ਯਿਸ਼ੂ ਮਸੀਹ ਨੇ ਆਪਣਾ ਪਵਿੱਤਰ ਲਹੂ ਬਹਾ ਕੇ ਤੁਹਾਨੂੰ ਮੁੱਲ ਖਰੀਦਿਆ ਹੈ ਅਤੇ ਜਦੋਂ ਕੋਈ ਕਿਸੇ ਨੂੰ ਖਰੀਦਦਾ ਹੈ ਤਾਂ ਉਸ ਨੂੰ ਆਪਣਾ ਦਾਸ ਬਣਾਉਂਦਾ ਹੈ ਪਰ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਜੀ ਨੇ ਤੁਹਾਨੂੰ ਕੋਈ ਦਾਸ ਨਹੀਂ ਬਲਕਿ ਆਪਣੇ ਧੀਆਂ ਅਤੇ ਪੁੱਤਰ ਬਣਾਇਆ ਹੈ ਆਮੀਨ ਹੁਣ ਇਸ ਲਈ ਜਿਸ ਤਰਾਂ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਜੀ ਰਾਜਾ ਹੈ ਉਸੇ ਤਰਾਂ ਤੁਸੀਂ ਵੀ ਹੋ ਖੁਦਾ ਨੇ ਤੁਹਾਨੂੰ ਕਿਸੇ ਬਿਮਾਰੀ ਜਾਂ ਕਿਸੇ ਡਿਪਰੈੱਸ਼ਨ ਲਈ ਜਾਂ ਸ਼ਰਮਿੰਦਗੀ ਲਈ ਨਹੀਂ ਬਣਾਇਆ ਪਰ ਅਨੰਤ ਕਾਲ ਦੇ ਜੀਵਨ ਦੇ ਲਈ ਬਣਾਇਆ ਹੈ ਪ੍ਰਭੂ ਯਿਸੂ ਮਸੀਹ ਜੀ ਕੋਈ ਧਰਮ ਜਾਤ ਬਦਲਣ ਦੇ ਲਈ ਨਹੀਂ ਆਏ ਬਲਕਿ ਉਹ ਤਾਂ ਸਾਡਾ ਜੀਵਨ ਅਤੇ ਸਾਡਾ ਦਿਲ ਬਦਲਣ ਦੇ ਲਈ ਆਏ ਹਨ ਪਵਿੱਤਰ ਕਲਾਮ ਦੇ ਵਿੱਚ ਲਿਖਿਆ ਹੈ ਹੇ ਸਭ ਥੱਕੇ ਤੇ ਭਾਰ ਹੇਠ ਦੱਬੇ ਲੋਕੋ ਮੇਰੇ ਕੋਲ ਆਓ ਮੈਂ ਤੁਹਾਨੂੰ ਆਰਾਮ ਦਿਆਂਗਾ ਮਤੀ ਆਮੀਨ ਉਹ ਸਾਨੂੰ ਆਰਾਮ ਦਿੰਦੇ ਹਨ ਯਿਸੂ ਮਸੀਹ ਤੁਹਾਡੀ ਜਿੰਦਗੀ ਬਦਲਣਾ ਚਾਹੁੰਦੇ ਹਨ ਕਿਉਂਕਿ ਉਹ ਤੁਹਾਨੂੰ ਪਿਆਰ ਕਰਦੇ ਹਨ ਉਹ ਪਿਆਰ ਨਹੀਂ ਜੋ ਦੁਨਿਆਵੀ ਹੈ ਬਲਕਿ ਉਹ ਪਿਆਰ ਜੋ ਸੱਚਾ ਹੈ ਜਿਸ ਦੇ ਵਿੱਚ ਕੋਈ ਉਮੀਦ ਨਹੀਂ ਕਿ ਅੱਗੋਂ ਪਿਆਰ ਮਿਲੇਗਾ ਜਾ ਨਹੀਂ ਪ੍ਰਭੂ ਯਿਸੂ ਨੇ ਮੈਨੂੰ ਡਿਪਰੈਸ਼ਨ ਤੋਂ ਆਜ਼ਾਦ ਕੀਤਾ ਹੈ ਅਤੇ ਅੱਜ ਮੈਂ ਪ੍ਰਭੂ ਯਿਸ਼ੂ ਮਸੀਹ ਦੀ ਗਵਾਹ ਹਾਂ ਆਮੀਨ ਕੋਈ ਕਿਸੇ ਲਈ ਮਰ ਨਹੀਂ ਸਕਦਾ ਪਰ ਪ੍ਰਭੂ ਯਸੂ ਮਸੀਹ ਸਾਡੇ ਪਾਪਾਂ ਦੇ ਖਾਤਰ ਮਾਰਿਆ ਗਿਆ ਕਬਰ ਦੇ ਵਿੱਚ ਦਫਨਾਇਆ ਗਿਆ ਅਤੇ ਮੌਤ ਨੂੰ ਹਰਾ ਕੇ ਤੀਜੇ ਦਿਨ ਮੁਰਦਿਆਂ ਵਿੱਚੋਂ ਜੀ ਉਠਿਆਤਾਂ ਕਿ ਸਾਨੂੰ ਅਨੰਤ ਕਾਲ ਦਾ ਜੀਵਨ ਦੇ ਸਕਣ ਅਤੇ ਅੱਜ ਉਸ ਦੇ ਵੱਡੇ ਵੱਡੇ ਚਮਤਕਾਰ ਦੱਸਦੇ ਹਨ ਕਿ ਉਹ ਅੱਜ ਵੀ ਸਾਡੇ ਵਿਚਕਾਰ ਮੌਜੂਦ ਹਨ ਕੋਈ ਮੁਰਦਾ ਕਿਸੇ ਮੁਰਦੇ ਨੂੰ ਜਿੰਦਾ ਨਹੀਂ ਕਰ ਸਕਦਾ ਪਰ ਜਿਸ ਦੇ ਕੋਲ ਇਹ ਇੱਖ਼ਤਿਆਰ ਹੈ ਸਿਰਫ ਉਹੀ ਮੁਰਦਿਆਂ ਨੂੰ ਜਿੰਦਾ ਕਰ ਸਕਦੇ ਹਨ ਇਸ ਲਈ ਖੁਦਾ ਦੀ ਖੋਜ ਕਰੋ ਕਿਉਂਕਿ ਤੁਹਾਡਾ ਸਰੀਰ ਪਵਿੱਤਰ ਆਤਮਾ ਦਾ ਮੰਦਰ ਹੈ ਅਤੇ ਜੋ ਇਸ ਮੰਦਰ ਨੂੰ ਸਾਫ ਰੱਖਦਾ ਹੈ ਉਹੀ ਸਵਰਗ ਦੇ ਵਾਰਸ ਹੋਣਗੇ ਜਿੱਥੇ ਦੁੱਧ ਅਤੇ ਸ਼ਹਿਦ ਦੀਆਂ ਨਦੀਆਂ ਵਹਿੰਦੀਆਂ ਹਨ ਜਿੱਥੇ ਧਰਤੀ ਦੀ ਸੁੱਖ ਸ਼ਾਂਤੀ ਤੋਂ ਵੱਧ ਕੇ ਸੁਖ ਸ਼ਾਂਤੀ ਅਤੇ ਬੇਸੁਮਾਰ ਆਤਮਿਕ ਆਨੰਦ ਹੈ ਆਮੀਨ ਆਮੀਨ ਆਮੀਨ ਖ਼ੁਦਾ ਨੂੰ ਜਾਣੋ ਚੱਖੋ ਤੇ ਦੇਖੋ ਕਿ ਯਹੋਵਾ ਕਿੰਨਾ ਭਲਾ ਹੈ ਆਮੀਨ,Gurmukhi
y ਜੀ ਮੇਰਾ favourite ਬਣ ਗਿਆ,Gurmukhi
ਸੋਂ ਇਲਾਗੇਟ ਸੋਂ ਬੂਹੇਅਟੀਫ਼ੁਲ ਵਉ ਵਉ ਵਉ ਵਉ ਵਉ ਵਉ ਵਉ ਵਉ ਵਉ ਵਉ ਵਉ,Gurmukhi
pakka kar lena kalla,Roman Punjabi
nank nam chardi kala,Roman Punjabi
maja agya ji gana sun ke veerji te didi,Roman Punjabi
ਇਸ ਗਾਣੇ ਤੋ ਜਸਵੰਤ ਬਹਾਦਰਪੁਰੀਆ ਬਹੁਤ ਮੱਚੂਗਾਮੈ ਆਸ ਕਰਦਾ ਸੁਣੂ ਜਰੂਰ ਇਸ ਵੀਰ ਦੇ ਗਾਣੇ ਨੂੰ ਤੇ ਬਹੁਤ ਬਹੁਤ ਮੁਬਾਰਕਾ ਬਾਈਜਿਉਦਾ ਰਹੇ ਗਾ ਦੁਨੀਆ ਤੇਆਉਦੀ ਵਾਰੀ ਤੇਰੇ ਇਹੀ ਗਾਣੇ million ਵਿੱਚ ਹੋਣਗੇਮੈ ਪਹਿਲੀ ਵਾਰ ਕੋਈ ਇਨਸਾਨ ਦੇਖੇਆ ਜੋ ਮਰ ਕੇ ਵੀ treding ਚ ਚੱਲ ਰਹੇ ਆਤੇ ਹੋਰ ਅਵਾਜਾ ਨੂੰ ਦੱਬੀ ਜਾਦਾ ਗਾਵਾਹ ਉਏ ਝੋਟੇਆ ਜਿੰਨਾ ਟਾਇਮ ਦੁਨੀਆ ਰਹੂ ਗੀਤੇਰੇ ਗਾਣੇ ਆਉਦੇ ਰਿਹਣ ਗੇ ਜਸਵੰਤ ਵੀਰ ਨੂੰ ਬੇਨਤੀ ਆ ਸੁਣ ਕੇ ਅਨੰਦ ਲਵੇਤੇ enjoy ਕਰੇਬਾਕੀ ਸਾਰੇ ਕਲਾਕਾਰ ਵੀ ਵਧੀਆ ਨੇ ਮਿਹਨਤ ਕਰਦੇ ਨੇਮੇਰੇ ਨਾਲੋ ਤਾ ਸਭ ਹੀ ਵਧੀਆ ਨੇਜੋ ਆਪਣੀ ਆਪਣੀ ਮਿਹਨਤ ਕਰਕੇ ਗਾ ਰਹੇ ਨੇ,Gurmukhi
light nai layiada kade gabroo jwan nu.. jehra ache sade areh tor dewa shamshan nu..,Roman Punjabi
oh kehra ni kyun chadh da daaru de tender da chandigarh nu gehra rakhein defender da chandigarh vich rehnde pakke sajjan ni oh sofi bas mere gaye te rajjan ni maar lain na tainu ve yaar tere maar lain na tainu ve yaar tere har vehle jo hunde naal treekan te hun gabru nu lai na ehna light kude heavyheavy paake suit boutiquean de hun gabru nu lai na ehna light kude ni heavyheavy paake suit boutiquean de cheema han lachan made mada ni tu dil da ve phone kyun ni athan je tera milda ve ghanta laake ragda roj badaaman nu gym ch howan handiye ni shaaman nu pind cheema ni chadya janda hann dya pind cheema ni chadya janda hann dya uton supne laina ay america dehun gabru nu lai na ehna light kude heavyheavy paake suit boutiquean de hun gabru nu lai na ehna light kude ni heavyheavy paake suit boutiquean de ve ajj di date ch kehra tere brobar da jameya ni koi gutt fad lae jo chobbar da hun dekh de ay khadki jideyein dang hoju ikk passa ni diggi de vich chand ke rakhan gandassa ni online tu hunna ghante ve online tu hunna ghante ve haye dinda ni reply kyun streakan de hun gabru nu lai na ehna light kude heavyheavy paake suit boutiquean de hun gabru nu lai na ehna light kude ni heavyheavy paake suit boutiquean de aa gaya ni ohi billo time haha ha,Roman Punjabi
ਸਾਰਿਆਂ ਨੂੰ ਬੇਨਤੀ ਹੈ ਕਿ like ਕਰੋ,Gurmukhi
haraf bhai sudesh kumari g naalo shyad hi koi hor awaj iss ganne vich tohadi jodi naal match kardi shandaar,Roman Punjabi
ਬਹੁਤ ਘੈਂਟ ਗੀਤ ਬੰਬ ਹੈ,Gurmukhi
ਬਹੁਤ ਨਜਾਰੇ ਆ ਗਿਆ ਵਿਰ,Gurmukhi
waheguru ji satnam,Roman Punjabi
ਬਹੁਤ ਸੋਹਣਾ ਗੀਤ,Gurmukhi
munda sona te sunkha hogya bhabhiye pehla to..,Roman Punjabi
didi tada song bahut sona vah min bahut sundar vah,Roman Punjabi
khan ji ki jai ho in hindi ki hall je,Roman Punjabi
ਸਿਰੇ ਦਾ ਫੁਦੂ ਗਾਇਕ ਇਹ ਆ ਸਾਲਾ ਗੰਦਾ ਜੇਹਾ,Gurmukhi
hagi vi aa,Roman Punjabi
ਬ੍ਰ੍ਰ੍ਰ੍ਰ,Gurmukhi
hanji ਸਾਡੇ ਘਰ ਆਏ ਸੀ cheema ਹੁਣੀ ਹੜ੍ਹ ਪੀੜਤਾਂ ਦੀ ਸੇਵਾ ਲਈ,Gurmukhi
harf cheema ji di flood vali vidio ton baad git sun riha han,Roman Punjabi
half cheema ji kal sade shehar fazilka pind jhangar bhaini aye hadd peedta di madad krn nu waheguru ehna te mehr krn,Roman Punjabi
ਬਹੁਤ ਖੂਬ,Gurmukhi
ਬਕਮਾਲ ਵੱਟ ਹੀ ਕੱਢ ਤੇ ਲਿਖਣ ਦੇ,Gurmukhi
ਯੇ ਗਾਣਾ ਡਿਪੈਂਡ ਹ ਬਿਕਾਰਹ ਬੰਦ ਕਰਦੋ ਪੁਲਿਸ ਕੇਸ ਕਰ ਦਊਗੀ ਡਿਫੈਂਸ ਰੂਮ ਗੰਦਾ ਗਾਣਾ ਯਹ ਦਰਾ ਰਿਹਾ ਔਰ ਸਾਰੇ ਪਾਵਲ ਹੋ ਰਹੇ ਆ ਜਾਣ ਕੇ ਹੋ ਰਹੇ ਆ ਮੈਂ ਪੁਲਿਸ ਕੋ ਬਤਾ ਦੂਗੀ ਰਿਪੋਰਟ ਕਰ ਦੂਗੀ ਮੇਰੀ ਦਾਦੀ ਸਰਪੰਚ ਹੈ,Gurmukhi
faad di bhai bass sahi hai veer ji,Roman Punjabi
bahut badhiya laga bhai ji song,Roman Punjabi
ਮਾਇਸ ਸਾਂਗ . . ਹੁਣ ਗੱਭਰੂ ਨੂੰ ਲੈ ਨਾ ਏਨਾ ਲਾਈਟ ਕੁੜੇ.. ਹੈਵੀ ਹੈਵੀ ਪਾ ਕੇ ਸੂਟ ਬੁਟਿਕਾ ਦੇ..,Gurmukhi
haye sudesh ji superb,Roman Punjabi
ਸ਼ਾਮ ਨੂੰ ਇਹ ਗਾਣਾ ਸੁਣਨ ਨੂੰ ਬੜਾ ਨਜਾਰਾ ਆਓਂਦਾ,Gurmukhi
ਕੁੜੀ ਬੁਹਤ ਸੋਹਣੀ ਹੈ,Gurmukhi
hi to do it for you too baby papa,Roman Punjabi
deep jandu music with aa gya ni ohi billo time always fire,Roman Punjabi
waheguru ji,Roman Punjabi
ਗਾਣਿਆਂ ਵਿੱਚ ਫੁਕਰੀ ਨਾ ਦਿਖਾਇਆ ਕਰੋ ਉਹੀ ਅਸਰ ਜਨਤਾ ਤੇ ਪੈਦਾ,Gurmukhi
yrr moddel to koi young le lete budhi si le rkhi h bc,Roman Punjabi
ਵਾਲੀ ਫੁਕਰੀ ਆ ਡੱਡੂ ਜੀ,Gurmukhi
ਪੁੱਤ ਆਦਤ ਪਾਲੋ,Gurmukhi
punjab se bhai guru gobind singh ji sheri ram chndr maharaj,Roman Punjabi
sudesh kumari vs surjit bhullar hunda ta kinna sohna lagda fer bhi thik hai,Roman Punjabi
punjabi aw gaywe oye,Roman Punjabi
yrr mai ye soch ke dar rha huu ki school kyu khul rhe hai,Roman Punjabi
ਕਬੱਡੀ ਖਿਡਾਰੀ ਜ਼ਾਰੀ ਜਗੁ ਸਿਰਾ ਬਾਈ,Gurmukhi
ਸੁਦੇਸ਼ ਕੁਮਾਰੀ,Gurmukhi
ਸੁਦੇਸ਼ ਕੁਮਾਰੀ ਜੀ ਕੋਇਲ of ਪੰਜਾਬ,Gurmukhi
ji ha klaaa reh gaya tha kine paise,Roman Punjabi
ਸਿਰਾ ਬਾਈ ਜੀ,Gurmukhi
bahut hi achcha song hai,Roman Punjabi
pure desi vibe..mza aa gya song sun ke,Roman Punjabi
veere menu yah hai gana bahut badhiya lag gaya tere naal they both song fine,Roman Punjabi
changaaa lagya veera song tuja chhaaa gya ji... ...ada hi banayaa rakhoo ...,Roman Punjabi
gana gam ke maja a gaya tera,Roman Punjabi
very nice ji bahut vadiya lagga tuhada gana umeed karde ha k tusi hor vi aave de bahut sare gane likho sudesh kumari medam ji tuhandi avaj nu slaam,Roman Punjabi
ਬਾਈ ਜੀ ਚੱਕੀ ਚਲੋ ਫੱਟੇ ਗਾਣਿਆ ਦੇ,Gurmukhi
pa ji aaj ep oni si kyo nhi aaye,Roman Punjabi
ise ghata gana mene aaj tak nahi suna ye song gobar or tatti se bhi bura hai,Roman Punjabi
wah boss wah kya kiwata kahi ha,Roman Punjabi
bai plz ek moka do script aa,Roman Punjabi
skoda accident ke baad wale like kre,Roman Punjabi
sab kamall hai base din mai duty jai vai bhee kamall hai or raat ko thand mai pani chalava vo bhee kamall hai,Roman Punjabi
ਬਹੁਤ ਪੁਰਾਣਾ ਸਿੰਗਰ ਆ ਗੁਲਾਬ ਸਿੱਧੂ ਲੋਕ ਸਾਲੇ ਪਤਾ ਕਿਉਂ ਕਹੀ ਜਾਂਦੇ ਨੇ ਵੀ ਸਿੱਧੂ ਨੇ ਚਲਾਇਆ,Gurmukhi
tumahri aukat nahi hai kewal gana chalao apna,Roman Punjabi
punjab ka naam shi roshan kar rahe ho ase song banake,Roman Punjabi
vah bhai vah ka use banate ho aise gaane reply do is comment ka song banao,Roman Punjabi
jan punjab india worlds earth saal baadh check kreo eh comment,Roman Punjabi
good morning ji love you too miss you too miss you too miss you so jaa raha tha mujhe nahin chahie tha na ki aap kahan mil,Roman Punjabi
jatt jatt jatt jatt jatt jatt jatt,Roman Punjabi
punjab ne nasha karke sari duniya da veda gark kar deta sari duniya nu barbad karke rakhta khaskar ke jatane khaskar ke chat log gane ਗਰੀਬ log khaskar ke chat log gane ਗਰੀਬ log barbad,Mixed
ji main teri pyari akhiyan piche sale sale to nahin aate,Roman Punjabi
ak tapte ke mare lal ho gai ga,Roman Punjabi
kudi javeya ne chemical paye ne,Roman Punjabi
punja i aa gae oye,Roman Punjabi
veer marry sis ve awaz punjab de win ah oh phd ah music de but bro ma chana ah ke koi oh tarke kre bas marry sis ah ta kr ke khana ah tuse ik vare moka de dena,Roman Punjabi
love u bro marry sis v awaz punjab de ah,Roman Punjabi
ikko gal baar baar jande oo kari veere jhanjaran to utte b aa duniya badi,Roman Punjabi
apni phone tod diya agar apne phone mein rahata to main bhi message kar deta like subscribe banaa de to apni pyar mohabbat se munna bhai phone kharab ho gaya hai mera karne nahin pata hun apni kam aap karo pyar mohabbat se raho munna bhai jo kam karte hain koi karne nahin pata bhi hai har banda ek jaise nahin hota hai panch angul ek barabar nahin hota,Roman Punjabi
punjab desh nhi rajya hai yeh bharat bhi bol skta tha khalistan bnana hai kya punjab ko desh bna kr,Roman Punjabi
jab duniya madarchod lagne lage tab sirf music hi hai jo zakhm bhar ke humein nayi raah dikha deta hai.,Roman Punjabi
december ko kon kon hazir h apni attendance lgaye ji,Roman Punjabi
cheema y ki main bhai school wala gana kar de song,Roman Punjabi
bhai ye punjabi gane ko koi samajh nahin pata lekin sunte jarur,Roman Punjabi
bohemia ji nd sidhu moose wale ji both are legend nd we see legends songs. different tarke different thing e.t.c.,Roman Punjabi
jai kam kich ke rakho ਏਦਾ ਹੀ,Mixed
ਕੁੜੀ ਜਾਵੇਆ,Gurmukhi
jai shree ram ji jai bajrangbali ji,Roman Punjabi
japuji sahib da path sunan to badh early morning v sidhu da song sunna painda. singer bahut aye par jatta teri ris koi na kr sakda. mud aa ja bro,Roman Punjabi
ekdam itna bimar kese ho sakte ho meri parwah hai ke nahi chalo jaldi thik ho jao,Roman Punjabi
ਮੇਰੀ ਲੋਕਾਂ ਨੁ ਸਲਾਹ ਕੇ moosewala ਨਾ ਸੁਣੋ ਚੀਮਾ ਸੁਣੋ ਮੂਸਾ b p ਵਦੋਂਦਾ ਤੇ ਚੀਮਾ ਬੀ ਪੀ ਕੰਟਰੋਲ ਰਖਦਾ,Gurmukhi
my favorite song..chemma baba ki dsa thoaahde vaare tusi kaamal de bande ho... jo kuch vi khnde ho tusi vaani sachhi ho jandiya.. tbhi to butte california laaye ne,Roman Punjabi
the best song i have ever listen to i think mene eske half view to kar hi diyan honge,Roman Punjabi
ਭਾਰਤ ਦੇ ਫੌਜੀਆਂ ਵਾਸਤੇ ਵੀ ਤੁਸੀਂ ਬੇਨਤੀ ਕਰਿਆ ਕਰੋ ਯਾਰ ਭਾਰਤ ਦੇ ਫੌਜੀਆਂ ਨੂੰ ਵੀ ਲਾਈਕ ਕਰਿਆ ਕਰੋ ਕਿਉਂਕਿ ਉਨਾਂ ਕਰਕੇ ਹੀ ਆਪਾਂ ਦੇਸ਼ ਵਿੱਚ ਸੁਰੱਖਿਤ ਹਾਂ ਇਹਨਾਂ ਕਲਾਕਾਰਾਂ ਕਰਕੇ ਅਸੀਂ ਸੁਰੱਖਿਤ ਨਹੀਂ ਹਾਂ,Gurmukhi
ਹਾਂ ਤੇਰੇ ਵਾਸਤੇ ਮੈਂ ਡੱਬੂ ਨੂੰ ਬਜਾਈ ਰੱਖਦਾ ਜੇ ਤੂੰ ਨਾ ਦਿਸੇ ਤੈਨੂੰ ਸਿੱਧਾ ਘਰਕਾਈ ਰੱਖਦਾ ਬੋਤਲ ਦੀ ਸਾਗਾ ਤੇ ਬੰਗ ਨੂੰ ਪਿਆ ਲਾਵਣ ਪਾਈ ਰੱਖਦਾ ਸਰੀਰ ਵਿੱਚ ਸੋਹਣੀਏ ਨੀ ਤੂੰ ਨਾਮੇ ਕਸੋ ਫਿਰਦਾ ਵਾਲੀ ਰੱਖਦਾ ਨੀ ਮੁੰਡਾ ਰੱਖਦਾ ਤੇਰੇ ਰੰਗ ਤੇਰੇ ਜਿਹੀਆਂ ਲੰਡੀਆਂ ਕਬੂਤਰੀਆਂ ਭਜਾਏ ਰੱਖਦਾ ਨਿਪਜਾਏ ਰੱਖਦਾ ਠੀਕ ਆ ਇਹੋ ਗਾਣਾ ਜੋੜਦੇ ਪੰਗ ਵਾਲਾ ਭੰਗ ਦਾ ਪਿਆਲਾ ਹੁਣ ਸਰੀਰ ਵਿੱਚ ਪਾਈ ਰੱਖਦਾ ਤੇਰੇ ਵਰਗੇ ਕੁੱਤੀਆ ਤੇ ਪੂਰਾ,Gurmukhi
that hi aagya yah song me mja hi aagya song me,Roman Punjabi
ਬੇਹਤਰੀਨ ਪੇਸ਼ਕਾਰੀ,Gurmukhi
sar ji intezar nhai ho rha hai ab jaldi aao,Roman Punjabi
very nice song punjabi kachori and may favrta punjabi,Roman Punjabi
f aa aa mm k aa l aa aa aa aa,Roman Punjabi
eh gaana ta jinna suniye man hi ni bhrda ji karda suni jayiye,Roman Punjabi
ik loved song kaur p grewal,Roman Punjabi
agar koi aur bhi isse zyada chutiya video ho panjabi song ka yoh share karo,Roman Punjabi
bhai bahut suneya per dil ni bharda,Roman Punjabi
is song par kam se kam m views hone chahiye the song vibe music,Roman Punjabi
ਤੇਰੀਆਂ ਹੀ ਬਸ ਸੁਣਿਆ ਆਪਣਾ ਨਾ ਕਹੀਏ,Gurmukhi
ਸਾਰੇ ਜਾਣੇ ਮੁੰਡੇ ਦੀ ਦੱਬ ਕੇ ਸਪੋਰਟ ਕਰੋ ਬਹੁਤ ਬਦਿਆਂ ਲਿਖਦਾ ਤੇ ਗਾਉਂਦਾ ਸਾਡੇ ਪਿੰਡ ਦਾ ਈ ਆ,Gurmukhi
o jubi waly gal h ami de gal rakh,Roman Punjabi
maja. aa gya,Roman Punjabi
oo paji kade hass bhi leya karo... badiya gaana paji,Roman Punjabi
je tu jhooth bol rahe ho aap love you love you too jaah ok je jahh hai aap to mere pass to the same person to samajh o je mane je dk je with a gaya tha ki acting as kya kar raha h o ok y ok jaah qolo hai na jo aapke pass a rahi thi ejsjwns ok with the same person who is the taking to my love is the same ww to yaar janu i love u mummy a jayegi aapse madad kar rahe ho kya hua hai ye to hona bhi to nahin chhodoge aap to mere paas kuch bolo to you and he is number one in the taking to yaar mujhe aashnsna snsshe s shs sspse baat kar lo wjjwnnnwe ok je dk sharma y u w kya hai aap kya je y u tu y ok jaah ok,Roman Punjabi
i am pakistani punjabi like indian punjabi song,Roman Punjabi
jida thik lagda karla saleya khusra a tu comatry kri jana,Roman Punjabi
tere pind eda da koi banda ni state mush kadi a jatt di apo apne ghar te rishtedari vich pta kro koi mere warga banda te ni dekheya guwache nu salll hoge saleyaya,Roman Punjabi
gjb shib,Unknown
